atype,phase_of_flt,state,height,speed,effect,sky,species,birds_struck,month_of_the_year,season
DC-9,Approach,West North Central,1800.0,130.0,None,Some Cloud,DUCKS,1,March,Spring
LEARJET-35,Take-off run,Middle Atlantic,0.0,120.0,Engine Shut Down,Some Cloud,AMERICAN KESTREL,1,August,Summer
B-727,Approach,East South Central,2800.0,180.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
C-172,Climb,South Atlantic,300.0,80.0,None,Some Cloud,SPARROWS,2-10,September,Fall
B-737,Take-off run,East South Central,0.0,120.0,Aborted Take-off,Some Cloud,HAWKS,1,November,Fall
B-737-300,Approach,Middle Atlantic,20.0,140.0,None,Some Cloud,GULLS,1,August,Summer
B-757-200,Landing Roll,West South Central,0.0,120.0,None,Some Cloud,SWALLOWS,2-10,August,Summer
LEARJET-55,Take-off run,East North Central,0.0,120.0,None,Overcast,GULLS,2-10,April,Spring
FK-100,Approach,East South Central,200.0,130.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
DC-10-10,Approach,Unknown,500.0,144.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,October,Fall
B-727,Landing Roll,Pacific,0.0,140.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,August,Summer
B-737,Approach,West South Central,1000.0,140.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,July,Summer
ATR-42,Take-off run,New England,0.0,120.0,None,Some Cloud,GULLS,1,September,Fall
MD-80,Approach,East South Central,1200.0,140.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1,September,Fall
MD-88,Approach,South Atlantic,5.0,130.0,None,Some Cloud,AMERICAN ROBIN,1,March,Spring
B-757-200,Descent,Mountain,6200.0,210.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,May,Spring
DC-9-30,Take-off run,South Atlantic,0.0,80.0,None,No Cloud,FOXES,1,June,Summer
C-150,Approach,Pacific,50.0,70.0,None,Some Cloud,ROCK PIGEON,1,July,Summer
SAAB-340,Approach,West North Central,4000.0,250.0,Other,Some Cloud,DUCKS,1,July,Summer
DORNIER 228,Approach,Middle Atlantic,200.0,110.0,None,Some Cloud,GULLS,1,November,Fall
BA-31 JETSTR,Landing Roll,South Atlantic,0.0,90.0,None,Some Cloud,DOVES,1,July,Summer
ATR-42,Approach,Mountain,300.0,120.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,July,Summer
B-727,Landing Roll,Mountain,0.0,105.0,None,No Cloud,WHITE-NOSED COATI,1,June,Summer
MD-88,Approach,Middle Atlantic,500.0,135.0,None,No Cloud,GULLS,1,February,Winter
DC-8-70,Landing Roll,Middle Atlantic,0.0,105.0,None,Some Cloud,GULLS,2-10,July,Summer
C-402,Take-off run,Mountain,0.0,120.0,Aborted Take-off,Some Cloud,WAPITI (ELK),1,September,Fall
B-737-300,Climb,Middle Atlantic,200.0,140.0,None,Overcast,GULLS,1,November,Fall
C-185 SKYWAG,Take-off run,Pacific,0.0,120.0,None,Overcast,GULLS,1,November,Fall
DC-9-30,En Route,East North Central,6000.0,130.0,None,No Cloud,UNKNOWN BIRD,1,May,Spring
B-727,Take-off run,Middle Atlantic,0.0,140.0,None,No Cloud,GULLS,1,May,Spring
B-737,Take-off run,East South Central,0.0,160.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,May,Spring
C-414,Take-off run,East North Central,0.0,80.0,Aborted Take-off,Overcast,GULLS,2-10,August,Summer
DC-9,Landing Roll,East North Central,0.0,120.0,None,Overcast,GULLS,2-10,January,Winter
EMB-120,Landing Roll,Mountain,0.0,105.0,None,No Cloud,BARN OWL,1,June,Summer
DC-9-30,Approach,East North Central,300.0,135.0,None,No Cloud,UNKNOWN BIRD,1,May,Spring
EMB-120,Landing Roll,South Atlantic,0.0,112.0,None,No Cloud,GULLS,1,September,Fall
B-737-300,Take-off run,West South Central,0.0,100.0,None,No Cloud,SPARROWS,1,July,Summer
BA-31 JETSTR,Approach,Pacific,900.0,135.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,December,Winter
DC-9-30,Approach,West South Central,300.0,135.0,None,No Cloud,UNKNOWN BIRD,1,November,Fall
B-767-200,Approach,Pacific,7000.0,250.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,November,Fall
MD-88,Landing Roll,East South Central,0.0,105.0,None,Overcast,SPARROWS,2-10,June,Summer
B-727-200,Approach,West South Central,500.0,140.0,None,No Cloud,SWALLOWS,1,September,Fall
MD-80,Approach,West South Central,300.0,135.0,None,Some Cloud,UNKNOWN BIRD,2-10,August,Summer
B-767-300,Climb,Unknown,200.0,180.0,Precautionary Landing,No Cloud,NORTHERN LAPWING,2-10,November,Fall
DHC8 DASH 8,Landing Roll,South Atlantic,0.0,95.0,None,No Cloud,EUROPEAN STARLING,1,June,Summer
B-737,Approach,Middle Atlantic,1000.0,115.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,October,Fall
B-727-200,Approach,East South Central,5500.0,210.0,None,No Cloud,UNKNOWN BIRD - LARGE,1,May,Spring
B-737-400,Approach,Middle Atlantic,300.0,135.0,None,Some Cloud,UNKNOWN BIRD,1,September,Fall
FK-100,Take-off run,East South Central,0.0,100.0,None,No Cloud,EUROPEAN STARLING,1,February,Winter
DC-9-30,En Route,Unknown,2500.0,130.0,None,No Cloud,UNKNOWN BIRD,1,September,Fall
B-727-200,Climb,East South Central,50.0,160.0,None,Some Cloud,BLACKBIRDS,1,May,Spring
B-737-200,Approach,Middle Atlantic,50.0,129.0,None,Overcast,GULLS,1,September,Fall
B-757-200,Approach,West South Central,300.0,125.0,None,Overcast,UNKNOWN BIRD - SMALL,1,April,Spring
B-737-200,Approach,West North Central,35.0,125.0,None,Some Cloud,CANADA GOOSE,2-10,April,Spring
B-737-300,Take-off run,Pacific,0.0,120.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,May,Spring
B-757-200,Approach,West South Central,1500.0,125.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,May,Spring
MD-82,Approach,West North Central,1200.0,145.0,None,No Cloud,UNKNOWN BIRD - LARGE,1,September,Fall
DHC8 DASH 8,Approach,East North Central,250.0,100.0,None,No Cloud,UNKNOWN BIRD - LARGE,1,September,Fall
B-737-400,Approach,Middle Atlantic,300.0,140.0,None,No Cloud,GEESE,2-10,November,Fall
MD-80,Approach,Pacific,100.0,135.0,None,Some Cloud,EUROPEAN STARLING,1,August,Summer
LEARJET UNKN,Approach,East North Central,300.0,135.0,Other,No Cloud,AMERICAN CROW,1,December,Winter
B-727-200,Climb,South Atlantic,2000.0,200.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,November,Fall
LEARJET-35,Approach,Pacific,100.0,140.0,None,Some Cloud,GULLS,2-10,February,Winter
B-737,Approach,Pacific,300.0,140.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10,February,Winter
CITATION II,Take-off run,Middle Atlantic,0.0,103.0,Aborted Take-off,Overcast,UNKNOWN BIRD,1,September,Fall
A-300,Climb,West South Central,10.0,180.0,None,No Cloud,BLACKBIRDS,1,June,Summer
BE-200 KING,Climb,Middle Atlantic,220.0,125.0,Precautionary Landing,No Cloud,TURKEY VULTURE,1,November,Fall
DC-9-40,Approach,South Atlantic,200.0,135.0,None,Overcast,GULLS,1,January,Winter
SAAB-340,Climb,South Atlantic,500.0,150.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,September,Fall
B-737-200,Approach,West South Central,50.0,130.0,Other,Overcast,GULLS,2-10,February,Winter
BA-31 JETSTR,Take-off run,East North Central,0.0,120.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,2-10,May,Spring
C-210 CENTUR,Landing Roll,New England,0.0,105.0,None,Some Cloud,GULLS,1,January,Winter
B-737,Landing Roll,Pacific,0.0,105.0,None,No Cloud,UNKNOWN BIRD,1,January,Winter
EMB-120,Landing Roll,Pacific,0.0,100.0,None,Overcast,MOURNING DOVE,2-10,February,Winter
DC-10-10,Take-off run,West South Central,0.0,120.0,None,Overcast,UNKNOWN BIRD - SMALL,2-10,February,Winter
DA-10 FALCON,Approach,South Atlantic,100.0,100.0,None,Overcast,GULLS,2-10,February,Winter
DC-9-30,Landing Roll,Middle Atlantic,0.0,105.0,None,No Cloud,EASTERN MEADOWLARK,1,October,Fall
B-757-200,Approach,West South Central,2500.0,180.0,None,Overcast,UNKNOWN BIRD - SMALL,1,October,Fall
DC-9-30,Approach,West South Central,1800.0,150.0,None,Overcast,UNKNOWN BIRD - SMALL,1,October,Fall
MD-82,Approach,East North Central,1000.0,170.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
B-737-300,Climb,West South Central,1500.0,200.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,November,Fall
EMB-120,Take-off run,Pacific,0.0,100.0,Aborted Take-off,No Cloud,SPARROWS,1,May,Spring
B-767,Approach,East South Central,50.0,120.0,None,No Cloud,MOURNING DOVE,1,August,Summer
BE-1900,Landing Roll,Middle Atlantic,0.0,100.0,None,No Cloud,SWALLOWS,1,May,Spring
PA-30 TWIN COMANCHE,Landing Roll,East North Central,0.0,105.0,None,No Cloud,WHITE-TAILED DEER,1,May,Spring
MD-80,Approach,Middle Atlantic,1000.0,160.0,None,Overcast,GULLS,2-10,January,Winter
BE-36,Approach,South Atlantic,460.0,120.0,Precautionary Landing,Some Cloud,VULTURES,1,December,Winter
MBB BK117,En Route,East South Central,2200.0,125.0,Precautionary Landing,No Cloud,VULTURES,1,August,Summer
MD-82,Climb,West South Central,10000.0,300.0,None,No Cloud,UNKNOWN BIRD,1,May,Spring
DC-9-30,Take-off run,South Atlantic,0.0,120.0,None,No Cloud,UNKNOWN BIRD,1,September,Fall
DC-9,Approach,South Atlantic,15.0,135.0,None,Overcast,UNKNOWN BIRD - MEDIUM,2-10,November,Fall
C-208,Approach,Pacific,1200.0,135.0,None,No Cloud,UNKNOWN BIRD,1,December,Winter
BE-400 BJET,Climb,West South Central,200.0,150.0,None,Overcast,UNKNOWN BIRD,1,January,Winter
B-727-200,Approach,South Atlantic,15.0,125.0,None,No Cloud,GULLS,1,May,Spring
FOKKER-F27,Approach,East North Central,200.0,110.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,September,Fall
B-737-300,Approach,Middle Atlantic,500.0,138.0,None,Some Cloud,GULLS,1,December,Winter
B-727-200,Approach,Middle Atlantic,6000.0,220.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,October,Fall
DC-9-30,Approach,East South Central,15.0,135.0,None,No Cloud,SPARROWS,2-10,July,Summer
B-737,Landing Roll,Pacific,0.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
MERLIN III,Approach,New England,10.0,109.0,None,No Cloud,GULLS,1,September,Fall
MD-82,Climb,East South Central,1500.0,200.0,None,Overcast,UNKNOWN BIRD - SMALL,1,October,Fall
MD-88,Climb,South Atlantic,50.0,150.0,None,Some Cloud,EGRETS,1,October,Fall
DC-9,Approach,Pacific,1400.0,160.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
FK-100,Approach,Middle Atlantic,1200.0,140.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1,October,Fall
UNKNOWN,Take-off run,West South Central,0.0,112.0,Aborted Take-off,No Cloud,HAWKS,1,May,Spring
BA-31 JETSTR,Approach,South Atlantic,1050.0,160.0,None,Overcast,UNKNOWN BIRD,1,August,Summer
B-747,Take-off run,Middle Atlantic,0.0,120.0,None,No Cloud,GULLS,2-10,August,Summer
DC-9,Approach,South Atlantic,200.0,150.0,None,No Cloud,BLACKBIRDS,2-10,November,Fall
B-727-200,Approach,South Atlantic,400.0,138.0,None,No Cloud,BLACKBIRDS,2-10,November,Fall
DHC8 DASH 8,Landing Roll,Pacific,0.0,105.0,None,No Cloud,SPARROWS,2-10,September,Fall
B-737,Landing Roll,Pacific,0.0,105.0,None,No Cloud,OWLS,1,January,Winter
B-737,Climb,Pacific,9.0,140.0,None,No Cloud,MALLARD,2-10,April,Spring
BELL-206,Climb,West South Central,1000.0,100.0,Precautionary Landing,Some Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
B-727,Take-off run,East South Central,0.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,November,Fall
B-737-300,Take-off run,Pacific,0.0,60.0,None,No Cloud,PEREGRINE FALCON,1,August,Summer
BA-146-200,Landing Roll,East North Central,0.0,105.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10,November,Fall
B-757-200,Approach,Pacific,1500.0,130.0,None,Overcast,UNKNOWN BIRD - LARGE,2-10,December,Winter
B-747-400,Approach,South Atlantic,30.0,148.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,December,Winter
C-172,Approach,Middle Atlantic,25.0,65.0,None,No Cloud,GULLS,1,August,Summer
DC-9-30,Take-off run,Middle Atlantic,0.0,130.0,None,Some Cloud,MOURNING DOVE,1,August,Summer
B-737-300,Approach,Middle Atlantic,300.0,150.0,None,Overcast,GULLS,1,March,Spring
BE-33,Climb,East South Central,100.0,70.0,None,Overcast,UNKNOWN BIRD - SMALL,1,March,Spring
B-737-200,Take-off run,West South Central,0.0,130.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,August,Summer
EMB-120,Descent,West South Central,3700.0,230.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,April,Spring
FK-100,Descent,Middle Atlantic,2800.0,250.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1,April,Spring
DC-9-40,En Route,Unknown,2500.0,130.0,None,Some Cloud,UNKNOWN BIRD,1,July,Summer
FK-100,Climb,East North Central,20.0,140.0,None,Some Cloud,RED-TAILED HAWK,1,September,Fall
B-727,Take-off run,West South Central,0.0,135.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,October,Fall
PA-30 TWIN COMANCHE,Climb,Pacific,800.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
B-727,Approach,East South Central,5500.0,210.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,May,Spring
DC-9-40,En Route,Unknown,2500.0,130.0,None,No Cloud,UNKNOWN BIRD,1,May,Spring
DC-9-30,Approach,South Atlantic,600.0,133.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,November,Fall
B-737-300,Approach,South Atlantic,1700.0,200.0,None,Some Cloud,HAWKS,1,June,Summer
DC-9-30,Approach,South Atlantic,300.0,240.0,None,No Cloud,UNKNOWN BIRD,1,November,Fall
DC-9,Approach,West North Central,1000.0,150.0,None,No Cloud,"DUCKS, GEESE, SWANS",1,January,Winter
EMB-120,Take-off run,Middle Atlantic,0.0,120.0,None,Some Cloud,BARN SWALLOW,1,September,Fall
B-767,Landing Roll,West South Central,0.0,105.0,None,No Cloud,UNKNOWN BIRD,1,May,Spring
PA-23-250,Landing Roll,Unknown,0.0,70.0,None,Overcast,UNKNOWN BIRD - SMALL,2-10,November,Fall
DC-9-80,Approach,West South Central,2400.0,180.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
DC-9-30,Landing Roll,South Atlantic,0.0,105.0,None,Overcast,GULLS,2-10,October,Fall
B-757-200,Approach,Mountain,1000.0,150.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,2-10,November,Fall
BE-58  BARON,Take-off run,West North Central,0.0,80.0,Aborted Take-off,Some Cloud,HAWKS,1,August,Summer
C-172,Landing Roll,South Atlantic,0.0,105.0,None,Some Cloud,DOVES,1,August,Summer
LEARJET-35,Climb,West South Central,3.0,140.0,Precautionary Landing,Some Cloud,GRACKLES,11-100,December,Winter
MD-82,Landing Roll,New England,0.0,100.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,October,Fall
DC-9,Approach,East North Central,800.0,140.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
EMB-120,Landing Roll,Mountain,0.0,105.0,None,No Cloud,SPARROWS,2-10,September,Fall
B-727-200,Approach,Unknown,10.0,135.0,None,Some Cloud,UNKNOWN BIRD - LARGE,1,February,Winter
B-757-200,Take-off run,West South Central,0.0,110.0,None,No Cloud,ROCK PIGEON,1,February,Winter
C-182 SKYLAN,Approach,Pacific,50.0,65.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,July,Summer
BE-100 KING,Climb,East North Central,50.0,110.0,Precautionary Landing,No Cloud,SANDPIPERS,1,September,Fall
DC-9-80,Climb,Middle Atlantic,50.0,140.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,August,Summer
MD-80,Approach,East South Central,15.0,138.0,None,Some Cloud,SPARROWS,1,August,Summer
LEARJET-35,Approach,South Atlantic,20.0,135.0,None,Some Cloud,GULLS,1,April,Spring
B-737-500,Landing Roll,East South Central,0.0,110.0,None,Some Cloud,CANADA GOOSE,1,August,Summer
DC-9-40,Landing Roll,South Atlantic,0.0,100.0,None,No Cloud,UNKNOWN BIRD,1,February,Winter
MD-83,Landing Roll,Mountain,0.0,135.0,None,No Cloud,ROCK PIGEON,2-10,April,Spring
BE-1900,Take-off run,Middle Atlantic,0.0,120.0,None,Overcast,GULLS,1,September,Fall
B-737-300,Approach,Pacific,200.0,140.0,None,No Cloud,CANADA GOOSE,1,September,Fall
MD-82,Approach,Mountain,500.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,October,Fall
B-727-200,Climb,East South Central,6500.0,250.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,September,Fall
B-737,Landing Roll,New England,0.0,160.0,None,No Cloud,GULLS,1,May,Spring
FK-100,Approach,West North Central,500.0,135.0,None,No Cloud,GEESE,1,February,Winter
C-150,En Route,East South Central,2200.0,100.0,None,No Cloud,UNKNOWN BIRD - SMALL,2-10,October,Fall
C-414,Approach,South Atlantic,20.0,90.0,None,No Cloud,TURKEY VULTURE,1,October,Fall
FK-28-1000,Approach,Pacific,50.0,125.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
SAAB-340,Landing Roll,Pacific,0.0,90.0,None,No Cloud,GULLS,2-10,September,Fall
B-757-200,Approach,East South Central,1200.0,140.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1,October,Fall
DC-8,Approach,East South Central,200.0,145.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,May,Spring
NAMC YS-11A,Approach,West North Central,3.0,110.0,None,Some Cloud,HAWKS,1,September,Fall
DC-9-80,Climb,Mountain,50.0,160.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,July,Summer
BA-31 JETSTR,Approach,Middle Atlantic,15.0,110.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10,July,Summer
FK-100,Approach,East North Central,1.0,135.0,None,No Cloud,BLACKBIRDS,1,July,Summer
B-727-200,Approach,Mountain,20.0,135.0,None,Overcast,COMMON RAVEN,1,January,Winter
BE-300 KING,Approach,Pacific,1500.0,175.0,None,Overcast,UNKNOWN BIRD - LARGE,1,November,Fall
B-727,Approach,West South Central,5000.0,220.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,April,Spring
BE-400 BJET,Climb,South Atlantic,100.0,150.0,None,Overcast,GULLS,1,March,Spring
BE-1900,Landing Roll,Middle Atlantic,0.0,80.0,None,Overcast,EUROPEAN STARLING,1,September,Fall
BA-31 JETSTR,Landing Roll,Middle Atlantic,0.0,140.0,None,Overcast,BLACKBIRDS,1,September,Fall
B-727-100,Approach,Middle Atlantic,100.0,135.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,February,Winter
C-402,Take-off run,Pacific,0.0,100.0,None,Overcast,GULLS,1,July,Summer
DHC8 DASH 8,Landing Roll,East North Central,0.0,105.0,None,Overcast,UNKNOWN BIRD - SMALL,1,August,Summer
B-727,Approach,Pacific,300.0,135.0,None,Some Cloud,RACING PIGEON,2-10,August,Summer
DC-9-50,Take-off run,Pacific,0.0,100.0,None,Some Cloud,BARN OWL,1,February,Winter
A-300,Approach,Middle Atlantic,300.0,135.0,None,Some Cloud,UNKNOWN BIRD - LARGE,2-10,February,Winter
MD-80 SERIES,Approach,West South Central,300.0,135.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,April,Spring
C-310,Approach,Middle Atlantic,2150.0,139.0,Other,Overcast,GULLS,1,December,Winter
B-737,Landing Roll,Pacific,0.0,120.0,None,Some Cloud,ROCK PIGEON,2-10,January,Winter
C-402,Approach,South Atlantic,300.0,135.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,October,Fall
B-727-200,Approach,Middle Atlantic,300.0,145.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,November,Fall
C-152,Approach,Middle Atlantic,300.0,135.0,Other,Some Cloud,BLACKBIRDS,2-10,July,Summer
DC-9,Climb,East South Central,10.0,130.0,None,Overcast,BLACKBIRDS,1,June,Summer
B-727,Take-off run,West South Central,0.0,135.0,None,No Cloud,BLACKBIRDS,2-10,July,Summer
SHORTS 360,Descent,Middle Atlantic,4000.0,210.0,None,Some Cloud,UNKNOWN BIRD,1,July,Summer
B-737-300,Approach,East North Central,30.0,130.0,None,Overcast,EASTERN MEADOWLARK,1,April,Spring
DHC8 DASH 8,Approach,South Atlantic,200.0,100.0,None,Overcast,BLACKBIRDS,1,September,Fall
B-737,Approach,Middle Atlantic,1000.0,140.0,None,No Cloud,CANADA GOOSE,1,June,Summer
B-727,Approach,East North Central,100.0,140.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,October,Fall
DC-9-80,Landing Roll,South Atlantic,0.0,120.0,None,Some Cloud,GULLS,2-10,November,Fall
DC-9-30,En Route,West North Central,2500.0,130.0,None,No Cloud,UNKNOWN BIRD,1,May,Spring
B-727,Landing Roll,South Atlantic,0.0,130.0,None,Overcast,BLACKBIRDS,2-10,May,Spring
MD-80,Approach,Middle Atlantic,40.0,145.0,None,Some Cloud,ROCK PIGEON,1,July,Summer
SA226 TC,Take-off run,East North Central,0.0,120.0,None,Overcast,GULLS,1,April,Spring
AG-5B,Approach,South Atlantic,1000.0,100.0,None,Some Cloud,SPARROWS,1,April,Spring
G-159,Approach,Middle Atlantic,1000.0,180.0,None,No Cloud,GULLS,2-10,April,Spring
DORNIER 228,Climb,New England,10.0,107.0,None,Some Cloud,SPARROWS,1,August,Summer
MD-80,Descent,Middle Atlantic,4000.0,210.0,None,Some Cloud,UNKNOWN BIRD,1,April,Spring
FK-100,Landing Roll,West South Central,0.0,135.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,April,Spring
B-737-300,Landing Roll,East North Central,0.0,100.0,None,Overcast,RING-BILLED GULL,1,July,Summer
B-737-300,Approach,Middle Atlantic,300.0,140.0,None,Overcast,HERRING GULL,2-10,November,Fall
FK-28-1000,Climb,West North Central,50.0,165.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,November,Fall
MD-80,Climb,East North Central,5000.0,250.0,None,Overcast,UNKNOWN BIRD,1,August,Summer
B-737,Take-off run,East South Central,0.0,120.0,Aborted Take-off,Overcast,UNKNOWN BIRD - SMALL,1,June,Summer
MD-82,Approach,West North Central,3000.0,180.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,August,Summer
DC-9-30,Landing Roll,Unknown,0.0,105.0,None,Overcast,UNKNOWN BIRD - SMALL,1,July,Summer
B-737-200,Approach,Middle Atlantic,300.0,136.0,None,Overcast,BLACKBIRDS,2-10,July,Summer
LEARJET-25,Approach,West South Central,800.0,160.0,None,Overcast,UNKNOWN BIRD - SMALL,1,October,Fall
B-737-200,Take-off run,South Atlantic,0.0,110.0,None,No Cloud,UNKNOWN BIRD - SMALL,2-10,November,Fall
B-737-300,Climb,South Atlantic,4000.0,250.0,None,No Cloud,UNKNOWN BIRD - LARGE,1,April,Spring
B-757-200,Take-off run,West North Central,0.0,120.0,None,No Cloud,PURPLE MARTIN,1,September,Fall
B-727,Approach,West South Central,300.0,135.0,None,Some Cloud,UNKNOWN BIRD,1,July,Summer
B-737-400,Take-off run,East North Central,0.0,120.0,None,Overcast,SPARROWS,1,July,Summer
B-757-200,Climb,South Atlantic,150.0,150.0,None,Overcast,GULLS,1,March,Spring
B-727,Descent,East South Central,11000.0,300.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,June,Summer
DC-8-61,En Route,Unknown,2500.0,130.0,None,No Cloud,UNKNOWN BIRD,1,October,Fall
DC-9-40,En Route,Unknown,2500.0,130.0,None,No Cloud,UNKNOWN BIRD,1,October,Fall
B-747-1/200,Approach,Pacific,800.0,135.0,None,Overcast,DUCKS,2-10,January,Winter
MD-80,Landing Roll,East South Central,0.0,100.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1,September,Fall
B-727-200,Climb,Unknown,100.0,150.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,January,Winter
C-172,Take-off run,East North Central,0.0,80.0,None,Some Cloud,UNKNOWN BIRD,1,October,Fall
SAAB-340,Climb,East South Central,100.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,July,Summer
B-737-100,Approach,Middle Atlantic,1780.0,130.0,None,No Cloud,GULLS,1,August,Summer
MD-88,Landing Roll,South Atlantic,0.0,105.0,None,No Cloud,EUROPEAN STARLING,2-10,August,Summer
BE-200 KING,Landing Roll,New England,0.0,80.0,None,Some Cloud,CANADA GOOSE,1,November,Fall
SHORTS 360,Take-off run,Middle Atlantic,0.0,120.0,None,No Cloud,WHITE-TAILED DEER,1,December,Winter
MOONEY UNKN,Take-off run,South Atlantic,0.0,120.0,Precautionary Landing,No Cloud,WHITE-TAILED DEER,1,October,Fall
B-737-200,Take-off run,Pacific,0.0,100.0,None,Some Cloud,UNKNOWN BIRD,1,November,Fall
BE-58  BARON,Landing Roll,New England,0.0,80.0,None,Overcast,GULLS,1,May,Spring
DC-9-30,Approach,Middle Atlantic,200.0,130.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,May,Spring
CITATION II,Take-off run,South Atlantic,0.0,80.0,Aborted Take-off,Overcast,UNKNOWN BIRD - SMALL,1,February,Winter
FK-100,Climb,East North Central,2000.0,200.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
DC-9-30,Approach,West North Central,1700.0,190.0,None,Overcast,UNKNOWN BIRD,1,September,Fall
B-727-200,Landing Roll,West South Central,0.0,120.0,None,No Cloud,MOURNING DOVE,2-10,December,Winter
ATR-42,Approach,West North Central,290.0,170.0,Precautionary Landing,Overcast,UNKNOWN BIRD,1,January,Winter
SAAB-340,Climb,West South Central,30.0,140.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,August,Summer
B-737,Take-off run,Middle Atlantic,0.0,75.0,Aborted Take-off,Overcast,KILLDEER,1,June,Summer
ATR-42,Take-off run,New England,0.0,40.0,None,No Cloud,DUCKS,1,April,Spring
BE-58  BARON,Take-off run,New England,0.0,120.0,None,Overcast,GULLS,1,December,Winter
DC-9-30,Climb,West North Central,4000.0,250.0,None,No Cloud,DUCKS,1,October,Fall
DC-8,Landing Roll,East South Central,0.0,90.0,None,No Cloud,HAWKS,1,May,Spring
B-737-300,Climb,West South Central,10.0,130.0,None,No Cloud,HAWKS,1,May,Spring
BE-90  KING,Landing Roll,East North Central,0.0,60.0,None,Overcast,GULLS,1,April,Spring
DHC8 DASH 8,Approach,East South Central,100.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,April,Spring
B-737-300,Approach,East North Central,10.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,July,Summer
DC-9,Approach,South Atlantic,1000.0,140.0,None,Some Cloud,BLACKBIRDS,1,May,Spring
A-320,Landing Roll,New England,0.0,105.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1,May,Spring
B-737-200,Climb,East North Central,200.0,150.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,July,Summer
