opid,operator,atype,remarks,phase_of_flt,date,state,height,speed,effect,sky,species,birds_struck
ABX,ABX AIR (was AIRBORNE EXPRESS),DC-9-30,BIRD STRIKE ON CENTER WINDSHIELD DURING TAKEOFF. NO DAMGE FOUND.,Take-off run,9/2/1994 0:00:00,MD,0.0,120.0,None,No Cloud,UNKNOWN BIRD,1
USA,US AIRWAYS,DC-9,FLT 9126,Approach,11/15/1994 0:00:00,NC,15.0,135.0,None,Overcast,UNKNOWN BIRD - MEDIUM,2-10
UNF,UNION FLIGHTS,C-208,PILOT REPTD HITTING A BIRD ON A 3 MI FINAL. A/C LANDED W/O  INCIDENT & TAXIED TO PARKING.,Approach,12/15/1994 0:00:00,CA,1200.0,135.0,None,,UNKNOWN BIRD,1
BUS,BUSINESS,BE-400 BJET,NO UNUSUAL ENG/OTHER CONDITIONS BY FLC. NOTIFIED GND PERSONNEL &  FLT CONTD. TO MRY.  GND INSPECTION DISCOVERED FIRST STAGE FAN  DAMAGE RESULTING IN REPLACEMENT  OF 5 BLADES AND T1 SENSOR.,Climb,1/26/1994 0:00:00,TX,200.0,150.0,None,Overcast,UNKNOWN BIRD,1
USA,US AIRWAYS,B-727-200,BIRD STRUCK F/O PITOT TUBE FOR AIR SPEED INDICATION.  TUBE WAS  DAMAGED AND HAD TO BE REPLACED IN TPA,Approach,5/5/1994 0:00:00,FL,15.0,125.0,None,No Cloud,GULLS,1
MES,MESABA AIRLINES,FOKKER-F27,FLT3070,Approach,9/5/1992 0:00:00,MI,200.0,110.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
USA,US AIRWAYS,B-737-300,NO DAMAGE. BIRD HIT LOWER L FUSELAGE. ATIS WARNING.,Approach,12/5/1992 0:00:00,NJ,500.0,138.0,None,Some Cloud,GULLS,1
DAL,DELTA AIR LINES,B-727-200,,Approach,10/28/1993 0:00:00,PA,6000.0,220.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
NWA,NORTHWEST AIRLINES,DC-9-30,FLT 971.,Approach,7/3/1992 0:00:00,TN,15.0,135.0,None,No Cloud,SPARROWS,2-10
AAH*,ALOHA AIRLINES,B-737,"BIRD HAD ABOUT A 6"" WINGSPAN.",Landing Roll,9/9/1992 0:00:00,HI,0.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
PRE,PRECISION AIRLINE,MERLIN III,6-INCH DIAMETER DENT IN LEFT SPINNER.,Approach,9/5/1992 0:00:00,ME,10.0,109.0,None,No Cloud,GULLS,1
AAL,AMERICAN AIRLINES,MD-82,NO DAMAGE NOTED,Climb,10/3/1992 0:00:00,AL,1500.0,200.0,None,Overcast,UNKNOWN BIRD - SMALL,1
DAL,DELTA AIR LINES,MD-88,FLT 1274. NO DAMAGE FOUND. FOUND BIRD NEAR 8000' REMAINING  MARKER.,Climb,10/7/1992 0:00:00,FL,50.0,150.0,None,Some Cloud,EGRETS,1
AAL,AMERICAN AIRLINES,DC-9,FORWARD WINDSHLD,Approach,9/21/1993 0:00:00,CA,1400.0,160.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,FK-100,,Approach,10/9/1994 0:00:00,NY,1200.0,140.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1
AAL,AMERICAN AIRLINES,UNKNOWN,BIRD STRUCK NOSE. NO DAMAGE NOTED. ABORTED T/O & RETD TO GATE. RWY REPTD AS 21C. NOT CORRECT,Take-off run,5/20/1992 0:00:00,TX,0.0,112.0,Aborted Take-off,No Cloud,HAWKS,1
BLR,ATLANTIC COAST AIRLINES,BA-31 JETSTR,NO DAMAGE TO A/C. FLIGHT PROCEEDED NORMALLY.,Approach,8/28/1995 0:00:00,DC,1050.0,160.0,None,Overcast,UNKNOWN BIRD,1
UAL,UNITED AIRLINES,B-747,"UPON DEPT PILOT OBSERVED A FLOCK OF GULLS PASS IN FRONT OF THE  A/C.  THEN CONFIRMED W/TOWER STRIKING ABOUT 3 GULLS. UPON  INSPN OF R/W & SURROUNDING AREAS,  NO CARCASSES WERE DISCOVERED.   FLIGHT #907 CONTINUED IN ROUTE W/0 DISRUPTION. (UNKNOWN AT THIS  TIME OF ANY DAMAGE SUSTAINED)",Take-off run,8/10/1991 0:00:00,NJ,0.0,120.0,None,No Cloud,GULLS,2-10
EAL,EASTERN AIRLINE,DC-9,ATIS WARNING.  FLT 521.,Approach,11/7/1990 0:00:00,GA,200.0,150.0,None,No Cloud,BLACKBIRDS,2-10
AAL,AMERICAN AIRLINES,B-727-200,"DAMAGE UNKNOWN, BUT NOT LIKELY",Approach,11/14/1994 0:00:00,NC,400.0,138.0,None,No Cloud,BLACKBIRDS,2-10
QXE,HORIZON AIR,DHC8 DASH 8,"TIME = 2002Z.  STRUCK 2 SMALL BIRDS, NO DAMAGE OR INJURIES.  FLT  150.",Landing Roll,9/1/1993 0:00:00,WA,0.0,105.0,None,,SPARROWS,2-10
AAH*,ALOHA AIRLINES,B-737,FLT423,Landing Roll,1/10/1995 0:00:00,HI,0.0,105.0,None,,OWLS,1
SWA,SOUTHWEST AIRLINES,B-737,TWO MALLARDS.  POSSIBLE SCRATCH OF PAINT ON RADOME 3X5MM.,Climb,4/9/1994 0:00:00,CA,9.0,140.0,None,No Cloud,MALLARD,2-10
BUS,BUSINESS,BELL-206,"FEATHERS & BIRD PARTS ENTERED LEFT FRONT OF HELICOPTER BUT  PASSENGER COULD SEE NO DAMAGE. RETURNED TO HIA-126, SHUT DOWN &  EXAMINED A/C. HALF OF A SMALL BIRD STUCK IN INLET LOUVERS OF  PASSENGER'S AIR VENT ENTRANCE. OTHER HALF OF BIRD HAD COME  THROUGH THE LOUVERS, THROUGH THE AIR DUCT, & INTO A/C.  LOUVERS  WERE SLIGHTLY DENTED IN ONE PLACE. NO OTHER DAMAGE. CLEANED A/C &  CONTD. FLT.",Climb,9/12/1994 0:00:00,TX,1000.0,100.0,Precautionary Landing,Some Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,B-727,,Take-off run,11/25/1991 0:00:00,TN,0.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
MSS,MORRIS AIR SERVICE,B-737-300,FLT 351. ATIS WARNING,Take-off run,8/3/1993 0:00:00,CA,0.0,60.0,None,No Cloud,PEREGRINE FALCON,1
AWI,AIR WISCONSIN AIRLINES,BA-146-200,NO DAMAGE/INJURIES,Landing Roll,11/11/1992 0:00:00,WI,0.0,105.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10
AAL,AMERICAN AIRLINES,B-757-200,"A/C WAS ON ILS GLIDESLOPE. BIRDS APPEARED IN LANDING LIGHTS &  SEVERAL WERE STRUCK. NO DAMAGE. 1 STRUCK 3"" ABOVE L ENG INLET.  TIME = 0342Z.",Approach,12/12/1991 0:00:00,CA,1500.0,130.0,None,Overcast,UNKNOWN BIRD - LARGE,2-10
ANA,ALL NIPPON AIRWAYS,B-747-400,CRACKED WIND WIPER BLADE..  SMALL GOOSE SIZE,Approach,12/6/1993 0:00:00,DC,30.0,148.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
MCN,MAC DAN AVIATION,C-172,NO DAMAGE NOTED.,Approach,8/21/1992 0:00:00,NJ,25.0,65.0,None,No Cloud,GULLS,1
USA,US AIRWAYS,DC-9-30,DOVE HIT CAPT. WINDSHIELD AT ROTATION. THERE WAS NO DAMAGE.,Take-off run,8/20/1994 0:00:00,PA,0.0,130.0,None,Some Cloud,MOURNING DOVE,1
USA,US AIRWAYS,B-737-300,,Approach,3/7/1995 0:00:00,NJ,300.0,150.0,None,Overcast,GULLS,1
BUS,BUSINESS,BE-33,NO DAMAGE REPTD. BY PILOT AFTER T/O.,Climb,3/29/1995 0:00:00,AL,100.0,70.0,None,Overcast,UNKNOWN BIRD - SMALL,1
SWA,SOUTHWEST AIRLINES,B-737-200,NO DAMAGE,Take-off run,8/19/1994 0:00:00,TX,0.0,130.0,None,,UNKNOWN BIRD - MEDIUM,1
BTA,EXPRESSJET (CONTINENTAL EXPRS),EMB-120,"VERY, SMALL SINGLE BIRD STRUCK F/O WINDSHIELD CAUSING NO DAMAGE.",Descent,4/29/1994 0:00:00,TX,3700.0,230.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,FK-100,BLACK AND WHITE FEATHERS.  DETAILS ON DAMAGE NOT REPTD.,Descent,4/29/1994 0:00:00,PA,2800.0,250.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1
ABX,ABX AIR (was AIRBORNE EXPRESS),DC-9-40,"NO DAMAGE NOTED ON CLEARVIEW WINDOW, CAPT'S SIDE",En Route,7/11/1995 0:00:00,,2500.0,130.0,None,Some Cloud,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,FK-100,RADOME DAMAGE BY LARGE BIRD. LARGE DENT IN LOWER RIGHT SIDE.  RADOME REPLACED.,Climb,9/28/1994 0:00:00,IL,20.0,140.0,None,Some Cloud,RED-TAILED HAWK,1
AAL,AMERICAN AIRLINES,B-727,ATIS WARNING.,Take-off run,10/11/1992 0:00:00,TX,0.0,135.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
PVT,PRIVATELY OWNED,PA-30 TWIN COMANCHE,NO DAMAGE,Climb,9/5/1992 0:00:00,CA,800.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
UPS,UPS AIRLINES,B-727,HIT JUST BELOW F/O WINDOW,Approach,5/10/1995 0:00:00,KY,5500.0,210.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
ABX,ABX AIR (was AIRBORNE EXPRESS),DC-9-40,F/O'S CLEARVIEW WINDOW. NO DAMAGE NOTED.,En Route,5/10/1995 0:00:00,,2500.0,130.0,None,,UNKNOWN BIRD,1
LHN,EXPRESS ONE INTL,DC-9-30,NO DAMAGE NOTED DURING MAINT. INSPEC.,Approach,11/21/1994 0:00:00,FL,600.0,133.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
USA,US AIRWAYS,B-737-300,TIME = 1838Z.  LARGE BLACK BIRD. HAWK? HAWK.(2 DIFFERENT REPTS). FLT 919.,Approach,6/19/1993 0:00:00,FL,1700.0,200.0,None,Some Cloud,HAWKS,1
USA,US AIRWAYS,DC-9-30,CREW DIDN'T KNOW THEY'D HIT A BIRD,Approach,11/29/1992 0:00:00,VA,300.0,240.0,None,No Cloud,UNKNOWN BIRD,1
NWA,NORTHWEST AIRLINES,DC-9,"FLT 680 INGESTED BIRD, SLIGHT DAMAGE.",Approach,1/2/1995 0:00:00,MN,1000.0,150.0,None,No Cloud,"DUCKS, GEESE, SWANS",1
JIA,PSA AIRLINES,EMB-120,FLT 4238,Take-off run,9/1/1994 0:00:00,PA,0.0,120.0,None,Some Cloud,BARN SWALLOW,1
AAL,AMERICAN AIRLINES,B-767,"FLT 79, HEAVY B767, STRUCK BIRD WHILE LANDING. NO REPTD DAMAGE &  A/C TAXIED TO GATE.",Landing Roll,5/25/1994 0:00:00,TX,0.0,105.0,None,,UNKNOWN BIRD,1
PVT,PRIVATELY OWNED,PA-23-250,,Landing Roll,11/26/1992 0:00:00,,0.0,70.0,None,Overcast,UNKNOWN BIRD - SMALL,2-10
AAL,AMERICAN AIRLINES,DC-9-80,,Approach,9/23/1992 0:00:00,TX,2400.0,180.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
NWA,NORTHWEST AIRLINES,DC-9-30,3 HITS ON CAPT'S SIDE OF WINDSHLD. NO DAMAGE.,Landing Roll,10/12/1992 0:00:00,VA,0.0,105.0,None,Overcast,GULLS,2-10
DAL,DELTA AIR LINES,B-757-200,LANDING LIGHTS WERE ON BUT BIRDS WERE NOT SEEN PRIOR TO IMPACT  W/ WINDSHLD.  NO OBVIOUS DAMAGE BUT MAINT. MAY HAVE FOUND DAMAGE  AFTER MY DEPTR.,Approach,11/1/1993 0:00:00,UT,1000.0,150.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,2-10
PVT,PRIVATELY OWNED,BE-58  BARON,PILOT ADVISED NO DAMAGE TO A/C.,Take-off run,8/5/1994 0:00:00,KS,0.0,80.0,Aborted Take-off,Some Cloud,HAWKS,1
BUS,BUSINESS,C-172,,Landing Roll,8/5/1994 0:00:00,FL,0.0,105.0,None,Some Cloud,DOVES,1
BUS,BUSINESS,LEARJET-35,"L & R ENG NACELLE INLET HEAT LIPS HAD MULTIPLE DENTS, L ENG HAD  SEVERAL BENT FAN BLADES ON OUTBOARD END OF BLADES. BIRDS WENT  THROUGH IT. L ENG REQUIRES REMOVAL FOR COMPRESSOR DAMAGE. R ENG  HAD NO DAMAGE. ENG INSTRUMENT INDICATIONS REMAINED NORMAL DURING  FLIGHT. LANDING MADE W/O INCIDENT. PUFF OF SMOKE WAS SEEN FROM L  ENG.",Climb,12/19/1994 0:00:00,TX,3.0,140.0,Precautionary Landing,Some Cloud,GRACKLES,11-100
AAL,AMERICAN AIRLINES,MD-82,"HEARD THUMP OF BIRDSTRIKE, BUT COULD FIND NO EVIDENCE ON POST  FLIGHT INSPECTION.",Landing Roll,10/27/1994 0:00:00,MA,0.0,100.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,DC-9,"BIRD HIT F/O WINDSCREEN, NO DAMAGE/INJURIES",Approach,9/22/1992 0:00:00,IL,800.0,140.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
SKW,SKYWEST AIRLINES,EMB-120,"FLT 930. NO DAMAGE FROM STRIKING A FLOCK OF SPARROWS.  TIME =  1422Z. # BIRDS NOT REPTD, ASSUME 2-10",Landing Roll,9/11/1993 0:00:00,UT,0.0,105.0,None,,SPARROWS,2-10
AAL,AMERICAN AIRLINES,B-727-200,BIRD HIT JUST ABOVE WINDOW R-4 ON LANDING. DID NOT GO INTO ENG.MIGHT HAVE BEEN GULL. VERY LARGE BIRD.,Approach,2/2/1993 0:00:00,PR,10.0,135.0,None,Some Cloud,UNKNOWN BIRD - LARGE,1
AAL,AMERICAN AIRLINES,B-757-200,SMUDGE ON LEFT OUTBOARD WING LEADING EDGE.,Take-off run,2/2/1993 0:00:00,TX,0.0,110.0,None,No Cloud,ROCK PIGEON,1
BUS,BUSINESS,C-182 SKYLAN,NO DAMAGE,Approach,7/23/1994 0:00:00,CA,50.0,65.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
BUS,BUSINESS,BE-100 KING,"NO POWER DEGREDATION OR ABNRML ENG INDICATIONS OBSVD. AFTER  INSURING NO CONTROL PROBLEMS, LANDED AT PONTIAC ARPT. BIRD  INGESTED. SERVICE MANUAL CALLS FOR DISASSEMBLY, CLEAN & INSPECT.  EXTENT OF DAMAGE NOT REPTD.",Climb,9/4/1994 0:00:00,MI,50.0,110.0,Precautionary Landing,No Cloud,SANDPIPERS,1
AAL,AMERICAN AIRLINES,DC-9-80,NO DAMAGE FOUND ON POSTFLT INSPCTN,Climb,8/2/1993 0:00:00,NY,50.0,140.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,MD-80,NO DAMAGE. 559.,Approach,8/2/1993 0:00:00,TN,15.0,138.0,None,Some Cloud,SPARROWS,1
BUS,BUSINESS,LEARJET-35,NO DAMAGE,Approach,4/12/1994 0:00:00,WV,20.0,135.0,None,Some Cloud,GULLS,1
COA,CONTINENTAL AIRLINES,B-737-500,,Landing Roll,8/31/1994 0:00:00,KY,0.0,110.0,None,Some Cloud,CANADA GOOSE,1
NWA,NORTHWEST AIRLINES,DC-9-40,,Landing Roll,2/12/1995 0:00:00,NC,0.0,100.0,None,No Cloud,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,MD-83,3 BIRDS HIT RADOME & FWD WINDSHIELD.  NO DAMAGE TO A/C.,Landing Roll,4/23/1994 0:00:00,AZ,0.0,135.0,None,No Cloud,ROCK PIGEON,2-10
ALO,ALLEGHENYAIRLINES,BE-1900,FLT 6529,Take-off run,9/30/1990 0:00:00,NY,0.0,120.0,None,Overcast,GULLS,1
AWE,AMERICA WEST AIRLINES,B-737-300,"MALLARD STRUCK THE TOP LEFT GEAR STRUT WITH MINOR DAMAGE TO  GEAR DOOR.  MAIN BODY OF DUCK THEN STRUCK TRAILING EDGE MID FLAP  LEADNG EDGE INDUCING A DENT APPROXIMATELY 3"" X 6"" X 3/4"".",Approach,9/30/1990 0:00:00,WA,200.0,140.0,None,No Cloud,CANADA GOOSE,1
AAL,AMERICAN AIRLINES,MD-82,,Approach,10/2/1992 0:00:00,NM,500.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,B-727-200,BIRD STRUCK JUST BELOW F/O'S L2 WINDOW,Climb,9/27/1990 0:00:00,TN,6500.0,250.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
UAL,UNITED AIRLINES,B-737,TIME = 2230,Landing Roll,5/27/1993 0:00:00,CT,0.0,160.0,None,,GULLS,1
AAL,AMERICAN AIRLINES,FK-100,,Approach,2/22/1995 0:00:00,MN,500.0,135.0,None,No Cloud,GEESE,1
UNK,UNKNOWN,C-150,,En Route,10/11/1992 0:00:00,TN,2200.0,100.0,None,No Cloud,UNKNOWN BIRD - SMALL,2-10
BUS,BUSINESS,C-414,L TIP TANK HIT & RUPTURED. STROBE/NAV LIGHT IGNITED LEAKING FUEL.  FIRE EXTINGUISHED UPON LDG. NO INJURIES REPTD.,Approach,10/10/1991 0:00:00,SC,20.0,90.0,None,No Cloud,TURKEY VULTURE,1
QXE,HORIZON AIR,FK-28-1000,NO DAMAGE. SMALL AREA OF BLOOD & FEATHERS ON RT SIDE OF  NOSE/FUSELAGE. TIME =1612PDT.,Approach,9/23/1995 0:00:00,CA,50.0,125.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
NAE,NASHVILLE EAGLE,SAAB-340,A/C WENT THRU A FLOCK OF GULLS STRIKING L WING & PROP. NO DAMAGE.,Landing Roll,9/20/1992 0:00:00,CA,0.0,90.0,None,No Cloud,GULLS,2-10
UPS,UPS AIRLINES,B-757-200,,Approach,10/30/1993 0:00:00,KY,1200.0,140.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1
UPS,UPS AIRLINES,DC-8,NO DAMAGE. FLT 2007.,Approach,5/22/1993 0:00:00,KY,200.0,145.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
ABX,ABX AIR (was AIRBORNE EXPRESS),NAMC YS-11A,NO DAMAGE NOTED AT TIME OF REPORT. PILOT DESCRIBED IMPACT AS NOSE  GEAR AND NOSE GEAR DOOR AREA.,Approach,9/15/1994 0:00:00,MO,3.0,110.0,None,Some Cloud,HAWKS,1
AAL,AMERICAN AIRLINES,DC-9-80,HEARD LOUD THUD AFTER SEEING BIRD PASS L SIDE OF A/C.,Climb,7/17/1993 0:00:00,UT,50.0,160.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
BLR,ATLANTIC COAST AIRLINES,BA-31 JETSTR,NO DAMAGE OR ENG INGESTION. PROBABLY STARLINGS.,Approach,7/17/1993 0:00:00,NY,15.0,110.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10
AAL,AMERICAN AIRLINES,FK-100,,Approach,7/27/1992 0:00:00,OH,1.0,135.0,None,No Cloud,BLACKBIRDS,1
DAL,DELTA AIR LINES,B-727-200,RAVEN STRUCK RADOME ON CAPT. SIDE DURING FLARE.,Approach,1/22/1995 0:00:00,MT,20.0,135.0,None,Overcast,COMMON RAVEN,1
BUS,BUSINESS,BE-300 KING,DENTED LEADING EDGE.,Approach,11/2/1990 0:00:00,OR,1500.0,175.0,None,Overcast,UNKNOWN BIRD - LARGE,1
AAL,AMERICAN AIRLINES,B-727,LEADING EDGE OF LEFT WING STRUCK.  MAINTENANCE INSPECTION  REVEALED NO DAMAGE,Approach,4/8/1994 0:00:00,TX,5000.0,220.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
PVT,PRIVATELY OWNED,BE-400 BJET,NO DAMAGE TO AIRCRAFT,Climb,3/2/1994 0:00:00,NC,100.0,150.0,None,Overcast,GULLS,1
BUS,BUSINESS,BE-1900,"FLT 616. PART OF A/C STRUCK UNKNOWN. # BIRDS STRUCK NOT REPTD,  ASSUME 1.  ROC ADZ.",Landing Roll,9/2/1993 0:00:00,NY,0.0,80.0,None,Overcast,EUROPEAN STARLING,1
RBD,TRANS WORLD EXPRESS,BA-31 JETSTR,TIME = 1710Z.  RAINY.,Landing Roll,9/3/1993 0:00:00,NY,0.0,140.0,None,Overcast,BLACKBIRDS,1
FDX,FEDEX EXPRESS,B-727-100,,Approach,2/1/1994 0:00:00,NY,100.0,135.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
BUS,BUSINESS,C-402,,Take-off run,7/5/1994 0:00:00,WA,0.0,100.0,None,Overcast,GULLS,1
CHQ,CHAUTAUQUA AIRLINES,DHC8 DASH 8,UNABLE TO FIND BIRD OR DAMAGE TO A/C.,Landing Roll,8/4/1994 0:00:00,OH,0.0,105.0,None,Overcast,UNKNOWN BIRD - SMALL,1
ASA,ALASKA AIRLINES,B-727,REPTD MULTIPLE BIRD STRIKES ON SHORT FINAL.  OPS RECVD 7 RACING PIGEONS WITH LEG BANDS. NO DAMAGE TO A/C.  TIME = 1314PDT.,Approach,8/24/1993 0:00:00,WA,300.0,135.0,None,,RACING PIGEON,2-10
HAL,HAWAIIAN AIR,DC-9-50,NO MARKS ON A/C SO PART OF A/C STRUCK UNKN.,Take-off run,2/18/1992 0:00:00,HI,0.0,100.0,None,Some Cloud,BARN OWL,1
COA,CONTINENTAL AIRLINES,A-300,NO DAMAGE,Approach,2/16/1992 0:00:00,NJ,300.0,135.0,None,Some Cloud,UNKNOWN BIRD - LARGE,2-10
AAL,AMERICAN AIRLINES,MD-80 SERIES,PERSON REPTG STRIKE WAS NOT PART OF CREW THAT HAD BIRD STRIKE BUT  WAS DOING WALK AROUND INSPN.,Approach,4/21/1992 0:00:00,TX,300.0,135.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
USC,AIRNET EXPRESS,C-310,WINDSHIELD DESTROYED. 80% WAS BLOWN INTO A/C. EMERGENCY LANDING  WAS MADE. ARFF RESPONDED. A/C LANDED AT 2030E.  TAXIED TO RAMP  W/O FURTHER INCID.  FLT 221.,Approach,12/7/1992 0:00:00,PA,2150.0,139.0,Other,Overcast,GULLS,1
UAL,UNITED AIRLINES,B-737,3 PIGEONS. INITIAL REPT FROM PILOT INDICATES NO APPARENT DAMAGE.,Landing Roll,1/24/1993 0:00:00,CA,0.0,120.0,None,Some Cloud,ROCK PIGEON,2-10
BUS,BUSINESS,C-402,WARNING ON PERM NOTAM,Approach,10/31/1992 0:00:00,FL,300.0,135.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,B-727-200,NO DAMAGE,Approach,11/15/1992 0:00:00,NY,300.0,145.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
BUS,BUSINESS,C-152,NO DAMAGE. EFFECT ON FLIGHT = A/C REQUESTED TOUCH & GO & DID A  FULL STOP.,Approach,7/9/1994 0:00:00,NJ,300.0,135.0,Other,Some Cloud,BLACKBIRDS,2-10
DAL,DELTA AIR LINES,DC-9,"FLT 719. PILOT REPTD HITTING A SMALL, BLACK BIRD JUST ABOVE  WINDSHLD. THERE WAS NO SUSPECTED DAMAGE. TOWER REPTD NO BIRD  ACTIVITY WAS OBSERVED.  RAIN.",Climb,6/13/1992 0:00:00,TN,10.0,130.0,None,Overcast,BLACKBIRDS,1
AAL,AMERICAN AIRLINES,B-727,REMAINS ON COCKPIT WINDOW,Take-off run,7/30/1992 0:00:00,TX,0.0,135.0,None,No Cloud,BLACKBIRDS,2-10
ALO,ALLEGHENYAIRLINES,SHORTS 360,FLT 3778 CALLED TOWER TO REPORT HITTING A BIRD.,Descent,7/21/1994 0:00:00,PA,4000.0,210.0,None,Some Cloud,UNKNOWN BIRD,1
AWE,AMERICA WEST AIRLINES,B-737-300,NO DAMAGE,Approach,4/11/1994 0:00:00,OH,30.0,130.0,None,Overcast,EASTERN MEADOWLARK,1
HNA,HENSON,DHC8 DASH 8,FLT 3264,Approach,9/7/1992 0:00:00,NC,200.0,100.0,None,Overcast,BLACKBIRDS,1
UAL,UNITED AIRLINES,B-737,FLT 376,Approach,6/26/1994 0:00:00,PA,1000.0,140.0,None,No Cloud,CANADA GOOSE,1
AAL,AMERICAN AIRLINES,B-727,,Approach,10/11/1992 0:00:00,IL,100.0,140.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,DC-9-80,NO DAMAGE/INJURY.,Landing Roll,11/27/1991 0:00:00,FL,0.0,120.0,None,Some Cloud,GULLS,2-10
ABX,ABX AIR (was AIRBORNE EXPRESS),DC-9-30,SUSPECT BIRD STRIKE ON LEFT SIDE OF A/C JUST AFT OF COCKPIT.  INSPECTED LEFT SIDE OF A/C. NO DAMAGE NOTED.,En Route,5/10/1994 0:00:00,KS,2500.0,130.0,None,,UNKNOWN BIRD,1
UAL,UNITED AIRLINES,B-727,,Landing Roll,5/16/1992 0:00:00,DC,0.0,130.0,None,Overcast,BLACKBIRDS,2-10
USA,US AIRWAYS,MD-80,,Approach,7/18/1992 0:00:00,PA,40.0,145.0,None,Some Cloud,ROCK PIGEON,1
BUS,BUSINESS,SA226 TC,RAIN. UNKNOWN DAMAGE TO A/C,Take-off run,4/6/1994 0:00:00,OH,0.0,120.0,None,Overcast,GULLS,1
BUS,BUSINESS,AG-5B,HAD TIME TO SEE BIRD FOR 1 SECOND BEFORE IT IMPACTED LEFT WING.   MY CFI FIRST NOTICED IMPACT POINT & RESULTING DENT IN LEADING  EDGE.,Approach,4/6/1994 0:00:00,FL,1000.0,100.0,None,Some Cloud,SPARROWS,1
BUS,BUSINESS,G-159,,Approach,4/15/1992 0:00:00,NJ,1000.0,180.0,None,No Cloud,GULLS,2-10
PRE,PRECISION AIRLINE,DORNIER 228,FLT 3500.,Climb,8/12/1993 0:00:00,NH,10.0,107.0,None,Some Cloud,SPARROWS,1
USA,US AIRWAYS,MD-80,UNABLE TO CONTACT CREW.  FIRST OFFICER'S PITOT TUBE REPLACED.,Descent,4/11/1994 0:00:00,NY,4000.0,210.0,None,Some Cloud,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,FK-100,NO DAMAGE,Landing Roll,4/12/1994 0:00:00,OK,0.0,135.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,B-737-300,BIRD WAS INGESTED INTO ENG. ENG. WASHED OUT & CHECKED.,Landing Roll,7/31/1992 0:00:00,OH,0.0,100.0,None,Overcast,RING-BILLED GULL,1
USA,US AIRWAYS,B-737-300,"AS A/C BROKE OUT OF MINIMUMS OVER RWY NUMBERS, SMALL FLOCK OF  GULLS LOCATED BELOW CLOUDS DECK WERE SPOTTED.  AT LEAST 1 GULL  WAS INGESTED INTO #1 ENG. NO DAMAGE. WARNING ON ATIS.",Approach,11/24/1991 0:00:00,NY,300.0,140.0,None,Overcast,HERRING GULL,2-10
USA,US AIRWAYS,FK-28-1000,"BIRD HIT JUST UNDER CAPT SEAT ON FUSELAGE, NO DAMAGE.",Climb,11/25/1991 0:00:00,MO,50.0,165.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,MD-80,HEARD THUMP AT 5000' IN CLIMBING RT TURN WHILE DEPARTING ORD  NO DEFECTS NOTED DURING THE FLIGHT.  THE IMPACT POINT WAS READILY  APPARENT BUT NO DAMAGE WAS NOTED BY A CREW POST-FLT WALK AROUND  INSPECTION.  MAINT. PROCEEDED WITH THEIR INSPECTION.,Climb,8/3/1991 0:00:00,IL,5000.0,250.0,None,Overcast,UNKNOWN BIRD,1
